Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2036600;Porto;Porto;41.14611819591938, -8.620328257281848;630;20%-39%;Cabine subterrânea;2518.53;348;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;2278.5;4393.5;1640.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2040000;Porto;Porto;41.152445788023236, -8.594593490420877;630;0%-19%;Cabine baixa em edifício próprio;883.86;146;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3550.5;4760.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2072400;Porto;Porto;41.16832403936616, -8.587218187566657;400;20%-39%;Cabine baixa em edifício próprio;1497.58;198;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.75;3100.5;3705.0;1505.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2067400;Porto;Porto;41.165212010322506, -8.66964920136505;800;20%-39%;Cabine baixa em edifício próprio;2232.15;186;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1666.75;5027.0;1617.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2038300;Porto;Porto;41.151851405690536, -8.607225730242648;630;20%-39%;Cabine subterrânea;1583.18;127;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1227.75;4489.25;2212.5;381.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127100;Porto;Porto;41.14812501351811, -8.631681468854856;630;0%-19%;Cabine baixa integrada em edifício;308.20;41;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2012500;Porto;Porto;41.14812131155397, -8.61797765678883;630;20%-39%;Cabine baixa integrada em edifício;1050.71;143;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;409.25;6084.75;1814.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2003100;Porto;Porto;41.14963438789351, -8.620479918329298;630;40%-59%;Cabine baixa em edifício próprio;2895.22;387;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;712.75;2095.0;3087.0;2383.25;32.75;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2078800;Porto;Porto;41.154664937650274, -8.627755192918798;800;20%-39%;Cabine baixa em edifício próprio;1361.38;101;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4659.75;3007.5;645.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2021600;Porto;Porto;41.14891496277212, -8.610352366323555;500;0%-19%;Cabine baixa integrada em edifício;470.35;37;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4325.0;3990.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2009800;Porto;Porto;41.16784811339345, -8.603545025604628;1260;20%-39%;Cabine baixa em edifício próprio;2257.25;373;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1377.5;4885.0;1986.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2038500;Porto;Porto;41.146620494295576, -8.611365448093043;1260;20%-39%;Cabine subterrânea;2090.70;171;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;680.5;6558.5;397.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2125100;Porto;Porto;41.1843341596526, -8.60055895090527;1030;0%-19%;Cabine baixa integrada em edifício;1358.40;187;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4610.25;3700.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052200;Porto;Porto;41.14719749129323, -8.57355576134596;630;20%-39%;Cabine baixa integrada em edifício;979.41;180;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.25;3939.0;3590.5;780.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043000;Porto;Porto;41.155703862206174, -8.59531488919208;630;0%-19%;Cabine subterrânea;1374.26;200;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4432.25;3881.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2099100;Porto;Porto;41.15750553219868, -8.670901492867701;630;0%-19%;Cabine baixa em edifício próprio;1022.35;140;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6528.0;1353.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2006700;Porto;Porto;41.159974131963196, -8.607821929273427;400;60%-79%;Cabine baixa em edifício próprio;1757.23;303;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;543.0;1568.0;2542.0;2116.75;1231.75;310.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2015000;Porto;Porto;41.1615602859609, -8.638515599022874;630;0%-19%;Cabine baixa em edifício próprio;1232.13;198;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5630.5;2684.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2046700;Porto;Porto;41.161316562796145, -8.644042386357913;630;0%-19%;Cabine subterrânea;847.54;119;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5113.75;3200.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2072000;Porto;Porto;41.160808925907936, -8.615610573176603;630;20%-39%;Cabine baixa em edifício próprio;1819.33;201;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1709.5;5411.0;1191.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2030400;Porto;Porto;41.157013395964746, -8.676759023144646;630;20%-39%;Cabine subterrânea;1819.30;161;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;233.25;4799.75;2780.0;498.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2123000;Porto;Porto;41.1496297796927, -8.654173878836053;1030;0%-19%;Cabine baixa em edifício próprio;1463.17;94;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3686.0;4367.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2001400;Porto;Porto;41.149317275372546, -8.611513990789575;1260;0%-19%;Cabine subterrânea;617.55;108;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2041000;Porto;Porto;41.17044541421328, -8.647960373552916;630;20%-39%;Cabine baixa em edifício próprio;1485.72;178;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;410.75;4408.5;2331.0;283.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2027000;Porto;Porto;41.15939775202599, -8.600647083146669;630;40%-59%;Cabine subterrânea;2542.07;372;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;151.75;2439.75;3220.25;1941.25;559.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2018700;Porto;Porto;41.14699962264945, -8.60630188299306;1260;40%-59%;Cabine subterrânea;1261.39;98;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1427.0;2719.5;1368.0;2708.5;86.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2105600;Porto;Porto;41.16914897668439, -8.627172503955299;630;0%-19%;Cabine baixa integrada em edifício;535.43;95;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8272.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2109700;Porto;Porto;41.141027485695396, -8.615101702200617;1260;0%-19%;Cabine baixa integrada em edifício;661.46;50;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2922.25;5341.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2034300;Porto;Porto;41.182807757264705, -8.597480728385204;630;0%-19%;Cabine baixa em edifício próprio;845.09;120;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3195.0;4958.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2028800;Porto;Porto;41.155892114579004, -8.623137524681985;630;0%-19%;Cabine subterrânea;719.77;82;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2018100;Porto;Porto;41.15095409590721, -8.601638742738867;630;20%-39%;Cabine subterrânea;1767.34;270;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;2722.0;4324.0;1265.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2010400;Porto;Porto;41.167486862597194, -8.620063696977528;630;40%-59%;Cabine baixa em edifício próprio;1376.66;209;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1959.5;2696.75;3048.25;603.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2074500;Porto;Porto;41.155527428849005, -8.679890701178676;400;60%-79%;Cabine baixa integrada em edifício;1698.65;154;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;756.5;1778.0;2507.0;2336.75;906.25;26.25;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2037500;Porto;Porto;41.16000646000649, -8.622550474501507;630;20%-39%;Cabine subterrânea;899.33;133;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2329.5;4259.0;742.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2049400;Porto;Porto;41.176764054631185, -8.647890947771934;630;0%-19%;Cabine baixa integrada em edifício;1146.33;55;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;4933.0;3369.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2010500;Porto;Porto;41.165197608413095, -8.611566327339334;630;40%-59%;Cabine baixa em edifício próprio;2004.47;290;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.25;2977.0;3588.25;1645.0;27.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2035700;Porto;Porto;41.14962059999697, -8.640876622343304;630;0%-19%;Cabine baixa em edifício próprio;325.01;25;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8320.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2108200;Porto;Porto;41.17413000654729, -8.661575035105491;400;0%-19%;Cabine baixa em edifício próprio;486.30;63;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6128.25;2082.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2102900;Porto;Porto;41.16442637516916, -8.641480588706607;1260;0%-19%;Cabine baixa em edifício próprio;1230.50;130;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7009.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2093600;Porto;Porto;41.17641005472866, -8.624949825643968;630;0%-19%;Cabine baixa em edifício próprio;955.65;165;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6556.25;1755.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2106500;Porto;Porto;41.16333934023594, -8.623177022672975;630;0%-19%;Cabine baixa integrada em edifício;759.25;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6176.75;2135.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2082400;Porto;Porto;41.16153463567908, -8.646859880458704;1260;0%-19%;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.75;8238.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2098700;Porto;Porto;41.15036433205699, -8.625663704476267;630;0%-19%;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6386.25;1927.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2128800;Porto;Porto;41.16303576815734, -8.598433692415073;630;0%-19%;Cabine baixa em edifício próprio;527.18;41;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3347.0;4966.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2085500;Porto;Porto;41.155825315831336, -8.654641221119647;630;20%-39%;Cabine baixa em edifício próprio;1021.20;187;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2929.5;4670.25;712.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2091600;Porto;Porto;41.16328594878018, -8.663735753455574;1000;0%-19%;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2059400;Porto;Porto;41.17913698550272, -8.609751223026922;630;0%-19%;Cabine baixa em edifício próprio;748.65;146;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5528.25;2791.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2105700;Porto;Porto;41.169212922835655, -8.626356309554273;630;0%-19%;Cabine baixa em edifício próprio;742.15;97;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8190.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070000;Porto;Porto;41.162084816621714, -8.573541343933615;400;N/D;Cabine baixa em edifício próprio;330.84;31;N/D;<20;;13;1312
1312D2092600;Porto;Porto;41.15141092123411, -8.650520922794172;630;0%-19%;Cabine baixa em edifício próprio;759.85;116;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7647.25;664.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2093700;Porto;Porto;41.1787539894462, -8.586082145464855;630;0%-19%;Cabine baixa em edifício próprio;673.97;101;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7559.5;752.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127600;Porto;Porto;41.16040024253832, -8.654167530595295;400;0%-19%;Cabine baixa em edifício próprio;752.11;68;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5124.0;3187.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2105500;Porto;Porto;41.17828195480539, -8.623515020251515;800;0%-19%;Cabine pré-fabricada;791.38;114;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6074.5;2236.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2078300;Porto;Porto;41.153260599325854, -8.561416334957798;400;0%-19%;Cabine baixa em edifício próprio;133.76;28;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043100;Porto;Porto;41.1739945760606, -8.667187352510295;1260;20%-39%;Cabine baixa em edifício próprio;1759.90;349;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2911.0;4715.0;684.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2098900;Porto;Porto;41.163483813464296, -8.612788176778315;630;0%-19%;Cabine baixa em edifício próprio;556.60;79;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7425.5;886.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2005700;Porto;Porto;41.159019397216504, -8.61153135882883;1260;20%-39%;Cabine baixa em edifício próprio;3395.95;600;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1081.75;4785.0;2447.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2028000;Porto;Porto;41.15144531208853, -8.617917515759085;630;20%-39%;Cabine subterrânea;1490.41;198;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;548.0;3224.25;3490.5;1048.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2093800;Porto;Porto;41.169907442817184, -8.671787947100285;630;20%-39%;Cabine baixa em edifício próprio;1262.16;86;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;564.75;7057.75;519.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2018000;Porto;Porto;41.15375177979813, -8.603478356325226;630;20%-39%;Cabine baixa em edifício próprio;1315.19;190;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1166.25;4892.5;2209.0;43.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075800;Porto;Porto;41.14640791687309, -8.598339384117057;630;20%-39%;Cabine baixa integrada em edifício;1328.30;191;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2885.75;4680.0;747.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2008900;Porto;Porto;41.144873341055, -8.582559551052794;400;0%-19%;Cabine baixa em edifício próprio;339.56;43;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6428.0;1741.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2059700;Porto;Porto;41.17775560812759, -8.61282038932407;630;0%-19%;Cabine subterrânea;602.65;111;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6019.75;2298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2012600;Porto;Porto;41.152688064709245, -8.591625764178257;630;20%-39%;Cabine baixa em edifício próprio;1638.50;259;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2240.75;4974.5;1095.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2096000;Porto;Porto;41.14944645156862, -8.649197194845188;630;0%-19%;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8323.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2113100;Porto;Porto;41.1694865389411, -8.572771477178737;250;40%-59%;Cabine pré-fabricada;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;873.5;954.0;3955.5;1363.25;808.75;356.5;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2024900;Porto;Porto;41.16005405588078, -8.652312693920635;1260;0%-19%;Cabine subterrânea;1256.95;173;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7010.75;1299.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2115100;Porto;Porto;41.15831982408982, -8.644483104355762;1260;0%-19%;Cabine baixa integrada em edifício;742.93;32;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7472.75;838.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2107700;Porto;Porto;41.15257180430147, -8.647748536003792;630;0%-19%;Cabine baixa integrada em edifício;1028.65;159;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7960.0;361.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2036100;Porto;Porto;41.14694951789487, -8.60395540679464;1260;0%-19%;Cabine subterrânea;2248.35;309;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3355.25;4956.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2086900;Porto;Porto;41.17926944019076, -8.582743085554732;400;20%-39%;Cabine baixa em edifício próprio;1124.70;172;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2316.5;5576.75;423.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2023900;Porto;Porto;41.17254797348469, -8.588893431117997;630;20%-39%;Cabine subterrânea;1581.25;275;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;890.5;3697.75;3236.25;487.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2089100;Porto;Porto;41.15887899582773, -8.626730073222014;630;20%-39%;Cabine baixa integrada em edifício;1996.68;274;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;497.25;3865.0;3487.25;378.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2123400;Porto;Porto;41.179744757757504, -8.59452838531366;400;0%-19%;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8748.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2035400;Porto;Porto;41.169916809832756, -8.603985983256887;630;40%-59%;Cabine baixa em edifício próprio;2428.56;368;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2391.75;3814.75;1829.25;275.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2059600;Porto;Porto;41.17875987597016, -8.611820405200284;630;0%-19%;Cabine subterrânea;825.93;159;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4616.5;3699.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2083300;Porto;Porto;41.16152186667738, -8.610874106654997;630;20%-39%;Cabine baixa em edifício próprio;1251.87;133;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;732.75;5770.0;1806.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2105300;Porto;Porto;41.16604418589158, -8.649528273997415;630;0%-19%;Cabine baixa integrada em edifício;956.42;114;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7873.0;440.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2084900;Porto;Porto;41.18067720352396, -8.59343149098817;200;0%-19%;Cabine metálica (monobloco);N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8748.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043200;Porto;Porto;41.16468868923947, -8.648282267199074;630;0%-19%;Cabine subterrânea;1051.10;125;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4134.5;4165.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2110700;Porto;Porto;41.16366198618701, -8.667061187756701;1260;0%-19%;Cabine subterrânea;1102.41;121;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7694.5;305.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2077900;Porto;Porto;41.14990686979543, -8.602696361005988;400;20%-39%;Cabine baixa integrada em edifício;561.21;64;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1653.0;5462.25;1196.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2080900;Porto;Porto;41.174843656072646, -8.583599984448743;400;20%-39%;Cabine baixa em edifício próprio;957.95;104;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2607.75;4892.5;470.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2062300;Porto;Porto;41.16202235849288, -8.604922442144147;630;20%-39%;Cabine subterrânea;1319.06;172;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;304.5;3681.25;4132.5;196.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
